"","V1"
"inaug_JamesMonroe_2_93",1
"inaug_JamesMonroe_2_94",2
"inaug_JamesMonroe_2_95",1
"inaug_JamesMonroe_2_96",1
"inaug_JamesMonroe_2_97",1
"inaug_JamesMonroe_2_98",4
"inaug_JamesMonroe_2_99",13
"inaug_JamesMonroe_2_100",9
"inaug_JamesMonroe_2_101",2
"inaug_JamesMonroe_2_102",4
"inaug_JamesMonroe_2_103",4
"inaug_JamesMonroe_2_104",4
"inaug_JamesMonroe_2_105",2
"inaug_JamesMonroe_2_106",2
"inaug_JamesMonroe_2_107",2
"inaug_JamesMonroe_2_108",2
"inaug_JamesMonroe_2_109",4
"inaug_JamesMonroe_2_110",5
"inaug_JamesMonroe_2_111",5
"inaug_JamesMonroe_2_112",2
"inaug_JamesMonroe_2_113",2
"inaug_JamesMonroe_2_114",5
"inaug_JamesMonroe_2_115",2
"inaug_JamesMonroe_2_116",2
"inaug_JamesMonroe_2_117",2
"inaug_JamesMonroe_2_118",2
"inaug_JamesMonroe_2_119",2
"inaug_JamesMonroe_2_120",2
"inaug_JamesMonroe_2_121",4
"inaug_JamesMonroe_2_122",11
"inaug_JamesMonroe_2_123",14
"inaug_JamesMonroe_2_124",4
"inaug_JamesMonroe_2_125",4
"inaug_JamesMonroe_2_126",2
"inaug_JamesMonroe_2_127",4
"inaug_JamesMonroe_2_128",2
"inaug_JamesMonroe_2_129",4
"inaug_JamesMonroe_2_130",4
"inaug_JamesMonroe_2_131",4
"inaug_JamesMonroe_2_132",2
"inaug_JamesMonroe_2_133",2
"inaug_JamesMonroe_2_134",8
"inaug_JamesMonroe_2_135",4
"inaug_JamesMonroe_2_136",4
"inaug_JamesMonroe_2_137",4
"inaug_JamesMonroe_2_138",4
"inaug_JamesMonroe_2_139",4
"inaug_JamesMonroe_2_140",4
"inaug_JamesMonroe_2_141",2
"inaug_JamesMonroe_2_142",2
"inaug_JohnQuincyAdams_1_2",2
"inaug_JohnQuincyAdams_1_3",4
"inaug_JohnQuincyAdams_1_4",4
"inaug_JohnQuincyAdams_1_5",2
"inaug_JohnQuincyAdams_1_6",2
"inaug_JohnQuincyAdams_1_7",2
"inaug_JohnQuincyAdams_1_8",2
"inaug_JohnQuincyAdams_1_9",5
"inaug_JohnQuincyAdams_1_10",5
"inaug_JohnQuincyAdams_1_11",5
"inaug_JohnQuincyAdams_1_12",4
"inaug_JohnQuincyAdams_1_13",5
"inaug_JohnQuincyAdams_1_14",4
"inaug_JohnQuincyAdams_1_15",4
"inaug_JohnQuincyAdams_1_16",4
"inaug_JohnQuincyAdams_1_17",4
"inaug_JohnQuincyAdams_1_18",4
"inaug_JohnQuincyAdams_1_19",4
"inaug_JohnQuincyAdams_1_20",4
"inaug_JohnQuincyAdams_1_21",4
"inaug_JohnQuincyAdams_1_22",1
"inaug_JohnQuincyAdams_1_23",1
"inaug_JohnQuincyAdams_1_24",14
"inaug_JohnQuincyAdams_1_25",4
"inaug_JohnQuincyAdams_1_26",14
"inaug_JohnQuincyAdams_1_27",14
"inaug_JohnQuincyAdams_1_28",14
"inaug_JohnQuincyAdams_1_29",13
"inaug_JohnQuincyAdams_1_30",12
"inaug_JohnQuincyAdams_1_31",14
"inaug_JohnQuincyAdams_1_32",4
"inaug_JohnQuincyAdams_1_33",14
"inaug_JohnQuincyAdams_1_34",2
"inaug_JohnQuincyAdams_1_35",2
"inaug_JohnQuincyAdams_1_36",2
"inaug_JohnQuincyAdams_1_37",14
"inaug_JohnQuincyAdams_1_38",2
"inaug_JohnQuincyAdams_1_39",2
"inaug_JohnQuincyAdams_1_40",4
"inaug_JohnQuincyAdams_1_41",2
"inaug_JohnQuincyAdams_1_42",4
"inaug_JohnQuincyAdams_1_43",5
"inaug_JohnQuincyAdams_1_44",4
"inaug_JohnQuincyAdams_1_45",2
"inaug_JohnQuincyAdams_1_46",4
"inaug_JohnQuincyAdams_1_47",4
"inaug_JohnQuincyAdams_1_48",4
"inaug_JohnQuincyAdams_1_49",11
"inaug_JohnQuincyAdams_1_50",4
"inaug_JohnQuincyAdams_1_51",4
"inaug_JohnQuincyAdams_1_52",14
"inaug_JohnQuincyAdams_1_53",4
"inaug_JohnQuincyAdams_1_54",4
